,Unnamed: 0,disease,workout
170,170,Dengue,Stay hydrated
171,171,Dengue,Include nutrient-rich foods
172,172,Dengue,Consume foods rich in vitamin C and antioxidants
173,173,Dengue,Limit fatty and greasy foods
174,174,Dengue,Avoid caffeine and alcohol
175,175,Dengue,Include soft and easily digestible foods
176,176,Dengue,Consult a healthcare professional
177,177,Dengue,Rest and conserve energy
178,178,Dengue,Gradually resume normal diet
179,179,Dengue,Follow medical recommendations
180,180,Typhoid,Consume easily digestible foods
181,181,Typhoid,Stay hydrated
182,182,Typhoid,Include nutrient-rich foods
183,183,Typhoid,Consume foods rich in vitamin C and antioxidants
184,184,Typhoid,Include protein-rich foods
185,185,Typhoid,Avoid fatty and greasy foods
186,186,Typhoid,Consult a healthcare professional
187,187,Typhoid,Gradually resume normal diet
188,188,Typhoid,Follow medical recommendations
189,189,Typhoid,Avoid alcohol and caffeine
190,190,hepatitis A,Stay hydrated
191,191,hepatitis A,Consume nutrient-rich foods
192,192,hepatitis A,Include protein-rich foods
193,193,hepatitis A,Consume easily digestible foods
194,194,hepatitis A,Limit fatty foods
195,195,hepatitis A,Avoid alcohol and caffeine
196,196,hepatitis A,Include vitamin C-rich foods
197,197,hepatitis A,Consult a healthcare professional
198,198,hepatitis A,Rest and conserve energy
199,199,hepatitis A,Gradually resume normal diet
200,200,Hepatitis B,Follow a balanced and nutritious diet
201,201,Hepatitis B,Stay hydrated
202,202,Hepatitis B,Include protein-rich foods
203,203,Hepatitis B,Consume nutrient-rich foods
204,204,Hepatitis B,Limit fatty foods
205,205,Hepatitis B,Avoid alcohol and caffeine
206,206,Hepatitis B,Include vitamin C-rich foods
207,207,Hepatitis B,Consult a healthcare professional
208,208,Hepatitis B,Rest and conserve energy
209,209,Hepatitis B,Gradually resume normal diet
210,210,Hepatitis C,Follow a balanced and nutritious diet
211,211,Hepatitis C,Stay hydrated
212,212,Hepatitis C,Include protein-rich foods
213,213,Hepatitis C,Consume nutrient-rich foods
214,214,Hepatitis C,Limit fatty foods
215,215,Hepatitis C,Avoid alcohol and caffeine
216,216,Hepatitis C,Include vitamin C-rich foods
217,217,Hepatitis C,Consult a healthcare professional
218,218,Hepatitis C,Rest and conserve energy
219,219,Hepatitis C,Gradually resume normal diet
220,220,Hepatitis D,Follow a balanced and nutritious diet
221,221,Hepatitis D,Stay hydrated
222,222,Hepatitis D,Include protein-rich foods
223,223,Hepatitis D,Consume nutrient-rich foods
224,224,Hepatitis D,Limit fatty foods
225,225,Hepatitis D,Avoid alcohol and caffeine
226,226,Hepatitis D,Include vitamin C-rich foods
227,227,Hepatitis D,Consult a healthcare professional
228,228,Hepatitis D,Rest and conserve energy
229,229,Hepatitis D,Gradually resume normal diet
230,230,Hepatitis E,Stay hydrated
231,231,Hepatitis E,Consume nutrient-rich foods
232,232,Hepatitis E,Include protein-rich foods
233,233,Hepatitis E,Consume easily digestible foods
234,234,Hepatitis E,Limit fatty foods
235,235,Hepatitis E,Avoid alcohol and caffeine
236,236,Hepatitis E,Include vitamin C-rich foods
237,237,Hepatitis E,Consult a healthcare professional
238,238,Hepatitis E,Rest and conserve energy
239,239,Hepatitis E,Gradually resume normal diet
240,240,Alcoholic hepatitis,Avoid alcohol consumption
241,241,Alcoholic hepatitis,Follow a balanced and nutritious diet
242,242,Alcoholic hepatitis,Stay hydrated
243,243,Alcoholic hepatitis,Consume nutrient-rich foods
244,244,Alcoholic hepatitis,Include protein-rich foods
245,245,Alcoholic hepatitis,Limit fatty foods
246,246,Alcoholic hepatitis,Include antioxidants
247,247,Alcoholic hepatitis,Consult a healthcare professional
248,248,Alcoholic hepatitis,Rest and conserve energy
249,249,Alcoholic hepatitis,Gradually resume normal diet
250,250,Tuberculosis,Consume a high-protein diet
251,251,Tuberculosis,Include nutrient-rich foods
252,252,Tuberculosis,Stay hydrated
253,253,Tuberculosis,Consume foods rich in vitamins A and C
254,254,Tuberculosis,Include zinc-rich foods
255,255,Tuberculosis,Limit sugary foods and beverages
256,256,Tuberculosis,Consult a healthcare professional
257,257,Tuberculosis,Rest and conserve energy
258,258,Tuberculosis,Gradually resume normal diet
259,259,Tuberculosis,Follow medical recommendations
260,260,Common Cold,Stay hydrated
261,261,Common Cold,Include nutrient-rich foods
262,262,Common Cold,Consume foods rich in vitamin C and antioxidants
263,263,Common Cold,Include zinc-rich foods
264,264,Common Cold,Limit sugary foods and beverages
265,265,Common Cold,Consume chicken soup
266,266,Common Cold,Consult a healthcare professional
267,267,Common Cold,Rest and conserve energy
268,268,Common Cold,Gargle with warm salt water
269,269,Common Cold,Use honey and lemon for sore throat
270,270,Pneumonia,Rest and conserve energy
271,271,Pneumonia,Stay hydrated
272,272,Pneumonia,Include nutrient-rich foods
273,273,Pneumonia,Consume high-calorie foods
274,274,Pneumonia,Include protein-rich foods
275,275,Pneumonia,Consume foods rich in vitamins A and C
276,276,Pneumonia,Consult a healthcare professional
277,277,Pneumonia,Follow medical recommendations
278,278,Pneumonia,Maintain good hygiene
279,279,Pneumonia,Avoid tobacco and alcohol
280,280,Dimorphic hemmorhoids(piles),Include high-fiber foods
281,281,Dimorphic hemmorhoids(piles),Stay hydrated
282,282,Dimorphic hemmorhoids(piles),Avoid spicy and processed foods
283,283,Dimorphic hemmorhoids(piles),Limit caffeine and alcohol
284,284,Dimorphic hemmorhoids(piles),Engage in regular exercise
285,285,Dimorphic hemmorhoids(piles),Avoid straining during bowel movements
286,286,Dimorphic hemmorhoids(piles),Maintain proper hygiene
287,287,Dimorphic hemmorhoids(piles),Consult a healthcare professional
288,288,Dimorphic hemmorhoids(piles),Apply topical treatments as directed
289,289,Dimorphic hemmorhoids(piles),Sit on a cushion to relieve pressure
290,290,Heart attack,Follow a heart-healthy diet
291,291,Heart attack,Limit saturated and trans fats
292,292,Heart attack,Limit sodium intake
293,293,Heart attack,Include potassium-rich foods
294,294,Heart attack,Consume omega-3 fatty acids
295,295,Heart attack,Limit alcohol consumption
296,296,Heart attack,Engage in regular physical activity
297,297,Heart attack,Maintain a healthy weight
298,298,Heart attack,Manage stress
299,299,Heart attack,Take prescribed medications as directed
300,300,Varicose veins,Engage in regular physical activity
301,301,Varicose veins,Maintain a healthy weight
302,302,Varicose veins,Elevate legs when resting
303,303,Varicose veins,Avoid prolonged standing or sitting
304,304,Varicose veins,Wear compression stockings
305,305,Varicose veins,Include high-fiber foods
306,306,Varicose veins,Stay hydrated
307,307,Varicose veins,Avoid tight clothing
308,308,Varicose veins,Limit salt intake
309,309,Varicose veins,Consult a healthcare professional
310,310,Hypothyroidism,Include iodine-rich foods
311,311,Hypothyroidism,Include selenium-rich foods
312,312,Hypothyroidism,Include zinc-rich foods
313,313,Hypothyroidism,Limit cruciferous vegetables
314,314,Hypothyroidism,Limit soy products
315,315,Hypothyroidism,Take thyroid medication as directed
316,316,Hypothyroidism,Engage in regular physical activity
317,317,Hypothyroidism,Manage stress
318,318,Hypothyroidism,Get adequate sleep
319,319,Hypothyroidism,Consult a healthcare professional
320,320,Hyperthyroidism,Limit iodine-rich foods
321,321,Hyperthyroidism,Include calcium-rich foods
322,322,Hyperthyroidism,Include vitamin D-rich foods
323,323,Hyperthyroidism,Include antioxidant-rich foods
324,324,Hyperthyroidism,Stay hydrated
325,325,Hyperthyroidism,Take antithyroid medication as directed
326,326,Hyperthyroidism,Manage stress
327,327,Hyperthyroidism,Get adequate rest
328,328,Hyperthyroidism,Avoid caffeine and stimulants
329,329,Hyperthyroidism,Consult a healthcare professional
330,330,Hypoglycemia,Consume small frequent meals
331,331,Hypoglycemia,Include complex carbohydrates
332,332,Hypoglycemia,Include protein with each meal
333,333,Hypoglycemia,Limit refined sugars
334,334,Hypoglycemia,Avoid alcohol on an empty stomach
335,335,Hypoglycemia,Carry fast-acting carbohydrates
336,336,Hypoglycemia,Monitor blood sugar levels
337,337,Hypoglycemia,Follow a consistent meal schedule
338,338,Hypoglycemia,Stay hydrated
339,339,Hypoglycemia,Consult a healthcare professional
340,340,Osteoarthristis,Include anti-inflammatory foods
341,341,Osteoarthristis,Consume omega-3 fatty acids
342,342,Osteoarthristis,Include vitamin D-rich foods
343,343,Osteoarthristis,Include calcium-rich foods
344,344,Osteoarthristis,Maintain a healthy weight
345,345,Osteoarthristis,Engage in low-impact exercise
346,346,Osteoarthristis,Apply hot or cold packs
347,347,Osteoarthristis,Use assistive devices
348,348,Osteoarthristis,Practice good posture
349,349,Osteoarthristis,Consult a healthcare professional
350,350,Arthritis,Include anti-inflammatory foods
351,351,Arthritis,Consume omega-3 fatty acids
352,352,Arthritis,Include vitamin D-rich foods
353,353,Arthritis,Include calcium-rich foods
354,354,Arthritis,Maintain a healthy weight
355,355,Arthritis,Engage in regular physical activity
356,356,Arthritis,Apply hot or cold packs
357,357,Arthritis,Use assistive devices
358,358,Arthritis,Practice good posture
359,359,Arthritis,Consult a healthcare professional
360,360,(vertigo) Paroymsal Positional Vertigo,Include vitamin D-rich foods
361,361,(vertigo) Paroymsal Positional Vertigo,Include vitamin B12-rich foods
362,362,(vertigo) Paroymsal Positional Vertigo,Stay hydrated
363,363,(vertigo) Paroymsal Positional Vertigo,Limit salt intake
364,364,(vertigo) Paroymsal Positional Vertigo,Limit caffeine and alcohol
365,365,(vertigo) Paroymsal Positional Vertigo,Avoid sudden head movements
366,366,(vertigo) Paroymsal Positional Vertigo,Practice vestibular rehabilitation exercises
367,367,(vertigo) Paroymsal Positional Vertigo,Get adequate sleep
368,368,(vertigo) Paroymsal Positional Vertigo,Manage stress
369,369,(vertigo) Paroymsal Positional Vertigo,Consult a healthcare professional
370,370,Acne,Maintain a clean diet
371,371,Acne,Include antioxidant-rich foods
372,372,Acne,Include zinc-rich foods
373,373,Acne,Include omega-3 fatty acids
374,374,Acne,Limit dairy products
375,375,Acne,Limit high-glycemic foods
376,376,Acne,Stay hydrated
377,377,Acne,Maintain a consistent skincare routine
378,378,Acne,Avoid touching or picking at acne
379,379,Acne,Consult a healthcare professional
380,380,Urinary tract infection,Stay hydrated
381,381,Urinary tract infection,Consume cranberry juice
382,382,Urinary tract infection,Include vitamin C-rich foods
383,383,Urinary tract infection,Include probiotics
384,384,Urinary tract infection,Limit caffeine and alcohol
385,385,Urinary tract infection,Urinate frequently
386,386,Urinary tract infection,Practice good hygiene
387,387,Urinary tract infection,Wear cotton underwear
388,388,Urinary tract infection,Take antibiotics as prescribed
389,389,Urinary tract infection,Consult a healthcare professional
390,390,Psoriasis,Include anti-inflammatory foods
391,391,Psoriasis,Consume omega-3 fatty acids
392,392,Psoriasis,Include antioxidant-rich foods
393,393,Psoriasis,Include vitamin D-rich foods
394,394,Psoriasis,Limit alcohol consumption
395,395,Psoriasis,Maintain a healthy weight
396,396,Psoriasis,Manage stress
397,397,Psoriasis,Apply prescribed topical treatments
398,398,Psoriasis,Moisturize regularly
399,399,Psoriasis,Consult a healthcare professional
400,400,Impetigo,Maintain good hygiene
401,401,Impetigo,Keep affected areas clean and dry
402,402,Impetigo,Use prescribed antibiotics
403,403,Impetigo,Consume nutrient-rich foods
404,404,Impetigo,Include protein-rich foods
405,405,Impetigo,Include vitamin C-rich foods
406,406,Impetigo,Stay hydrated
407,407,Impetigo,Avoid sharing personal items
408,408,Impetigo,Cover affected areas with bandages
409,409,Impetigo,Consult a healthcare professional
